N     Total_reward  Satisfied_customers  Customers_without_deliveries  Total_time  Total_satisfaction  Wharehouse_visits  Trips
0      862.734109                 11.0                           1.0  722.333333            0.910749               18.0   38.0
1      837.235410                 12.0                           2.0  734.400000            0.882638               18.0   42.0
2      791.953149                 11.0                           3.0  734.400000            0.823810               18.0   42.0
3      846.403141                 13.0                           2.0  748.416667            0.886559               18.0   43.0
4      823.913593                 15.0                           2.0  721.333333            0.864279               11.0   91.0
5      871.404725                 11.0                           1.0  751.333333            0.914995               19.0   39.0
6      714.664099                 14.0                           5.0  727.350000            0.750241               11.0   92.0
7      883.504448                 11.0                           1.0  733.333333            0.927221               18.0   38.0
8      808.689452                 16.0                           3.0  744.266667            0.842610               13.0   89.0
9      889.732558                 11.0                           1.0  734.433333            0.922053               18.0   44.0
10     819.203260                 14.0                           2.0  724.416667            0.867816               11.0   96.0
11     866.775568                 11.0                           1.0  749.333333            0.916828               18.0   38.0
12     784.262621                 14.0                           3.0  741.450000            0.831232               12.0   99.0
13     877.487822                 13.0                           1.0  734.333333            0.929254               18.0   38.0
14     869.554435                 16.0                           1.0  756.333333            0.930769               19.0   39.0
15     796.415395                 10.0                           3.0  739.383333            0.833803               18.0   41.0
16     872.682621                 10.0                           1.0  723.333333            0.905033               18.0   38.0
17     861.248225                 10.0                           1.0  731.333333            0.911025               18.0   38.0
18     892.673332                 14.0                           1.0  726.433333            0.937023               17.0   43.0
19     791.522153                 11.0                           3.0  723.383333            0.827715               18.0   41.0
20     790.888740                 14.0                           3.0  739.350000            0.835735               11.0   92.0
21     870.879190                 15.0                           1.0  720.300000            0.903226               11.0   89.0
22     795.267388                 15.0                           3.0  728.333333            0.841748               12.0   92.0
23     876.151253                 11.0                           1.0  753.333333            0.927203               19.0   39.0
24     874.723839                 10.0                           1.0  736.333333            0.914773               18.0   38.0
25     863.907652                 16.0                           2.0  721.350000            0.898305               12.0   93.0
26     872.570397                 14.0                           1.0  733.333333            0.927606               18.0   38.0
27     881.751697                 13.0                           1.0  738.333333            0.933082               18.0   38.0
28     837.909719                 14.0                           2.0  721.433333            0.889320               11.0   97.0
29     842.990160                 13.0                           2.0  722.416667            0.884726               17.0   42.0
30     809.542342                 16.0                           3.0  736.133333            0.851312               11.0   79.0
31     753.796722                 13.0                           4.0  735.466667            0.790123               11.0   99.0
32     742.213321                 14.0                           4.0  723.433333            0.767925               11.0   97.0
33     891.450665                 15.0                           1.0  741.433333            0.939680               18.0   44.0
34     837.524425                 15.0                           2.0  721.300000            0.875479               11.0   89.0
35     807.968485                 12.0                           3.0  751.383333            0.849810               19.0   42.0
36     877.973009                  9.0                           1.0  738.333333            0.923745               18.0   38.0
37     763.503333                 14.0                           4.0  722.416667            0.795669               11.0   96.0
38     879.459985                  9.0                           1.0  748.416667            0.908582               18.0   43.0
39     776.744214                 15.0                           3.0  723.316667            0.816981               11.0   90.0
40     840.947989                 13.0                           2.0  748.533333            0.878957               11.0  103.0
41     838.764769                 13.0                           2.0  742.400000            0.881274               18.0   42.0
42     874.304735                  9.0                           1.0  733.333333            0.918660               18.0   38.0
43     869.964544                 12.0                           1.0  730.333333            0.921606               18.0   38.0
44     783.354606                 14.0                           3.0  720.483333            0.818526               11.0  100.0
45     740.500892                 14.0                           4.0  721.433333            0.781400               11.0   97.0
46     788.778038                 14.0                           3.0  724.383333            0.833017               11.0   94.0
47     874.174211                 11.0                           1.0  739.333333            0.926142               18.0   38.0
48     868.649610                 10.0                           1.0  743.333333            0.906578               18.0   38.0
