,Total_reward,Satisfied_customers,Customers_without_deliveries,Total_time,Total_satisfaction,Wharehouse_visits,Trips
0,901.4603665066578,14.0,1.0,741.3333333333334,0.9276759884281581,18.0,38.0
1,799.9027614923073,9.0,3.0,750.3833333333334,0.8098391674550615,19.0,42.0
2,902.4548757604691,13.0,1.0,737.3333333333335,0.9361702127659575,18.0,38.0
3,815.0807542628422,13.0,3.0,720.516666666666,0.8341323106423778,11.0,102.0
4,742.7181462819506,13.0,4.0,721.6666666666658,0.7699711260827719,12.0,112.0
5,861.6729860822134,12.0,2.0,750.4000000000002,0.8771106941838649,18.0,42.0
6,905.4437528152255,9.0,1.0,740.3333333333335,0.9259962049335864,18.0,38.0
7,891.6736575068239,14.0,1.0,744.3333333333335,0.9268051434223541,18.0,38.0
8,737.5338581008104,14.0,4.0,748.466666666666,0.76248821866164,12.0,100.0
9,893.9227915324473,11.0,1.0,733.3333333333334,0.917221693625119,18.0,38.0
10,745.5725798692371,13.0,4.0,720.5999999999992,0.7700381679389313,12.0,108.0
11,893.5883629340407,10.0,1.0,733.3333333333335,0.9148533585619678,18.0,38.0
12,819.0558338665031,16.0,3.0,721.133333333333,0.8496168582375478,11.0,79.0
13,896.7394142695073,9.0,1.0,735.3333333333335,0.9095238095238095,18.0,38.0
14,823.4758879116166,15.0,3.0,721.3499999999995,0.8408007626310772,11.0,92.0
15,729.4480744529794,14.0,5.0,725.4833333333327,0.746954076850984,11.0,100.0
16,910.6901164588432,14.0,1.0,720.3499999999993,0.924812030075188,12.0,93.0
17,758.516302083402,14.0,4.0,742.316666666666,0.7783109404990403,11.0,90.0
18,868.3117441065517,10.0,1.0,732.4166666666667,0.8730009407337723,18.0,43.0
19,896.7539437522807,11.0,1.0,747.3333333333335,0.9153339604891816,18.0,38.0
20,804.2422754558766,9.0,3.0,732.4000000000002,0.8093457943925234,18.0,42.0
21,905.7555181814728,14.0,1.0,722.3499999999995,0.9277566539923955,11.0,92.0
22,788.8160868747761,13.0,3.0,721.4166666666661,0.8147448015122873,11.0,96.0
23,822.1107326007655,14.0,3.0,733.366666666666,0.8455672068636797,11.0,93.0
24,917.9576866927257,15.0,1.0,721.4333333333327,0.9317963496637848,12.0,98.0
25,770.8949857167217,14.0,4.0,723.3999999999994,0.7907869481765835,11.0,95.0
26,770.99949994767,13.0,4.0,722.4333333333327,0.789423984891407,11.0,97.0
27,814.5843498209131,12.0,3.0,736.4000000000002,0.8282442748091603,18.0,42.0
28,900.673875082247,11.0,1.0,746.3333333333335,0.9294685990338164,18.0,38.0
29,825.1240266695165,15.0,3.0,721.3666666666661,0.8452722063037249,11.0,93.0
30,813.1220002953739,14.0,3.0,727.3666666666661,0.8373435996150145,11.0,93.0
31,898.5461599805525,12.0,1.0,742.3333333333335,0.935609756097561,18.0,38.0
32,874.9532251104164,16.0,2.0,722.2666666666662,0.8910984848484849,12.0,88.0
33,899.9687855492662,11.0,1.0,726.3333333333335,0.920303605313093,18.0,38.0
34,885.2677570591843,8.0,1.0,728.3333333333334,0.9074427480916031,18.0,38.0
35,906.3955639037442,14.0,1.0,743.4000000000001,0.9328859060402684,18.0,42.0
36,910.9948356148069,14.0,1.0,731.3333333333334,0.9349282296650717,18.0,38.0
37,842.525147187951,16.0,2.0,724.1499999999996,0.8789625360230547,11.0,80.0
38,826.9846610561913,14.0,3.0,729.4333333333327,0.8351851851851851,11.0,97.0
39,905.3023696853539,11.0,1.0,739.3333333333334,0.9238921001926782,18.0,38.0
40,862.9916546233237,11.0,2.0,730.4000000000001,0.8723809523809524,18.0,42.0
41,863.0529800040365,9.0,2.0,728.4000000000001,0.8705772811918063,18.0,42.0
42,810.4583942515183,13.0,3.0,732.4000000000001,0.8351115421920465,18.0,42.0
43,822.3662660476373,14.0,3.0,735.4000000000001,0.8429672447013488,18.0,42.0
44,899.4786209340734,10.0,1.0,733.3333333333335,0.922077922077922,18.0,38.0
45,863.6486310049515,15.0,2.0,720.3166666666662,0.8941641938674579,11.0,90.0
46,806.7565403253848,14.0,3.0,722.4333333333327,0.8262955854126679,11.0,97.0
47,907.8370341755449,13.0,1.0,737.4166666666669,0.9222748815165877,18.0,43.0
48,803.633643548553,11.0,3.0,727.3833333333334,0.8268315889628924,18.0,41.0
49,892.5101936664632,14.0,1.0,722.3333333333335,0.9265143992055611,18.0,38.0
50,886.8306661683987,9.0,1.0,723.3333333333334,0.9084041548630784,18.0,38.0
51,806.9118348060076,13.0,3.0,731.3833333333334,0.8303317535545024,18.0,41.0
52,896.288109966348,15.0,1.0,727.3999999999994,0.9090047393364928,11.0,95.0
53,914.5681398541576,16.0,1.0,724.1833333333327,0.9301227573182247,12.0,83.0
54,862.3953008314081,14.0,2.0,725.3666666666661,0.8914505283381364,10.0,92.0
55,803.1335256024861,15.0,2.0,740.3166666666662,0.8344693281402142,12.0,91.0
56,896.9459326969604,7.0,1.0,744.3333333333334,0.90625,19.0,39.0
57,768.9307807096304,14.0,4.0,721.4166666666661,0.7884615384615384,11.0,96.0
58,895.3557701381311,10.0,1.0,738.3333333333335,0.9129186602870814,18.0,38.0
