,Total_reward,Satisfied_customers,Customers_without_deliveries,Total_time,Total_satisfaction,Wharehouse_visits,Trips
0,717.5877764793444,14.0,5.0,753.266666666666,0.7425742574257426,11.0,87.0
1,805.5613460921395,16.0,4.0,730.0166666666662,0.8152380952380952,11.0,72.0
2,769.4941984193495,15.0,4.0,723.1499999999994,0.8005591798695247,11.0,80.0
3,926.1228062810112,19.0,1.0,745.3333333333335,0.946277097078228,16.0,36.0
4,766.2711208962717,15.0,4.0,720.1333333333329,0.759469696969697,10.0,78.0
5,699.3694788559485,14.0,5.0,734.2833333333327,0.7163323782234957,11.0,88.0
6,740.7969727581076,15.0,5.0,721.3666666666661,0.7436380772855796,13.0,95.0
7,710.1240961113854,14.0,4.0,728.366666666666,0.732421875,11.0,93.0
8,895.664800564251,19.0,1.0,741.3333333333335,0.943050193050193,17.0,37.0
9,916.6958229989787,19.0,1.0,747.3333333333335,0.9548577036310107,17.0,37.0
10,777.5546311841626,15.0,3.0,723.1666666666662,0.7909270216962525,11.0,81.0
11,699.2307429120278,13.0,5.0,733.4333333333326,0.6976744186046512,11.0,97.0
12,746.4404467476083,15.0,5.0,730.0833333333328,0.7436131386861314,11.0,76.0
13,784.6037165496437,16.0,4.0,724.9666666666664,0.803088803088803,10.0,68.0
14,758.7375112352663,14.0,4.0,726.266666666666,0.7570093457943925,10.0,86.0
15,765.7702232468246,15.0,5.0,721.1499999999995,0.7701260911736179,11.0,80.0
16,792.4845089277597,16.0,4.0,749.1333333333329,0.8051823416506718,12.0,80.0
17,782.4259508702243,16.0,4.0,720.0833333333328,0.7876838235294118,12.0,77.0
18,762.0725671187328,15.0,5.0,720.1833333333328,0.7568590350047304,11.0,82.0
19,738.9398264015813,14.0,5.0,744.2833333333327,0.752112676056338,11.0,88.0
20,699.1153590202085,14.0,5.0,722.3333333333326,0.702247191011236,11.0,91.0
21,727.5016087263735,15.0,5.0,733.1666666666662,0.7447418738049714,11.0,81.0
22,753.2870491383593,14.0,4.0,750.3333333333327,0.7552182163187856,11.0,91.0
23,740.4617328704273,14.0,4.0,728.2499999999994,0.7657308809293321,11.0,86.0
24,756.5723569094278,15.0,4.0,722.1666666666661,0.7818532818532818,10.0,80.0
25,807.2046174662728,15.0,3.0,722.1666666666662,0.8195926285160039,11.0,81.0
26,907.7453282233525,19.0,1.0,755.3333333333335,0.9490695396669931,17.0,37.0
27,911.6639843761511,19.0,1.0,728.3333333333335,0.9412897016361886,16.0,36.0
28,750.4019654167953,15.0,4.0,731.1666666666662,0.775023832221163,11.0,81.0
29,897.370520318944,19.0,1.0,742.3333333333335,0.9376854599406528,16.0,36.0
30,917.5437105742421,19.0,1.0,763.3333333333335,0.9495798319327731,16.0,36.0
31,910.0842495869132,19.0,1.0,751.3333333333335,0.953,16.0,36.0
32,808.5212867893845,16.0,4.0,739.0166666666662,0.7983501374885427,11.0,72.0
33,872.6466295195733,19.0,1.0,749.3333333333335,0.9395161290322581,16.0,36.0
34,720.0186763703286,14.0,5.0,747.2999999999994,0.7170172084130019,11.0,89.0
35,670.935577572151,14.0,5.0,722.2499999999994,0.6925207756232687,10.0,85.0
36,726.117552754997,15.0,5.0,727.1333333333329,0.7445394112060779,11.0,79.0
37,734.4007547910678,15.0,5.0,720.1999999999994,0.750236518448439,11.0,83.0
38,745.4811749748956,15.0,4.0,721.1333333333329,0.763430725730443,11.0,79.0
39,895.5477040803914,19.0,1.0,740.3333333333335,0.9431051108968177,16.0,36.0
40,793.9283875186356,16.0,4.0,730.0166666666663,0.8016682113067656,11.0,72.0
41,897.5222906498122,19.0,1.0,753.3333333333335,0.9418604651162791,17.0,37.0
42,903.704831588872,19.0,1.0,736.3333333333335,0.9447092469018112,16.0,36.0
43,785.228611363055,16.0,4.0,720.0166666666662,0.8021032504780115,10.0,71.0
44,919.5052716780469,19.0,1.0,727.3333333333335,0.954119850187266,16.0,36.0
45,765.9669959250527,15.0,4.0,722.1499999999995,0.7707547169811321,11.0,80.0
46,788.3197052087381,16.0,4.0,734.0499999999995,0.795688847235239,12.0,75.0
47,893.1629519544865,19.0,1.0,733.3333333333335,0.9398422090729783,16.0,36.0
48,705.2752589775905,14.0,5.0,723.1833333333328,0.7102272727272727,10.0,81.0
49,714.8863822004766,14.0,4.0,722.2333333333329,0.7331378299120235,10.0,84.0
50,901.621103068359,19.0,1.0,742.3333333333335,0.937799043062201,16.0,36.0
51,738.7067554631492,15.0,5.0,724.1166666666662,0.7566287878787878,10.0,77.0
52,858.0092932874941,17.0,3.0,731.9333333333329,0.8626373626373627,12.0,68.0
53,714.285505581998,14.0,4.0,740.2833333333327,0.7360157016683022,11.0,88.0
54,920.261016206103,19.0,1.0,739.3333333333335,0.9531396438612934,17.0,37.0
55,704.9777367822994,13.0,5.0,723.2666666666661,0.7109004739336493,10.0,86.0
56,761.1723151621943,15.0,5.0,740.0999999999996,0.7551984877126654,11.0,77.0
57,739.2984916017972,14.0,4.0,723.316666666666,0.7558465855940131,11.0,90.0
58,925.4155631528437,19.0,1.0,734.3333333333335,0.9530651340996169,16.0,36.0
59,755.6311994337191,15.0,4.0,749.1666666666661,0.795816733067729,11.0,81.0
60,791.0432313734867,15.0,4.0,737.1499999999995,0.7910447761194029,11.0,80.0
61,912.9103262112959,19.0,1.0,740.3333333333335,0.9570731707317073,17.0,37.0
62,744.1915711740021,14.0,5.0,721.366666666666,0.7431372549019608,11.0,93.0
63,796.043887192873,16.0,3.0,727.0499999999995,0.8239845261121856,11.0,74.0
64,949.7994048554683,19.0,1.0,757.3333333333334,0.953757225433526,17.0,37.0
65,890.3459064007247,19.0,1.0,760.3333333333335,0.944234404536862,16.0,36.0
66,780.2881255574418,15.0,4.0,722.2499999999993,0.7894221351616063,11.0,86.0
67,711.3205970963284,15.0,4.0,724.1666666666662,0.75,11.0,81.0
68,919.0613498916914,19.0,1.0,734.3333333333335,0.9366602687140115,16.0,36.0
69,747.6370531646794,15.0,5.0,735.1166666666661,0.753199268738574,11.0,78.0
70,703.972250809973,14.0,5.0,721.1666666666662,0.7048872180451128,10.0,80.0
71,894.6754066978258,19.0,1.0,758.3333333333335,0.949901768172888,17.0,37.0
72,738.2118066896821,15.0,4.0,729.1499999999995,0.7674418604651163,11.0,80.0
73,696.8017982819962,15.0,4.0,721.1666666666662,0.7360157016683022,10.0,80.0
74,712.148113014761,15.0,5.0,738.366666666666,0.7338262476894639,13.0,95.0
75,760.9920413474921,15.0,4.0,722.1166666666661,0.7650375939849624,11.0,78.0
76,921.4731951525162,19.0,1.0,740.3333333333335,0.9601990049751243,16.0,36.0
77,732.0226159283326,15.0,5.0,736.1499999999994,0.7551420176297747,11.0,80.0
78,689.7509363529437,14.0,5.0,722.2833333333328,0.6963788300835655,11.0,88.0
79,943.5198762451294,19.0,1.0,759.3333333333335,0.9535573122529645,17.0,37.0
80,736.0715205490405,15.0,4.0,733.1499999999994,0.7570356472795498,11.0,80.0
81,814.4086678553617,16.0,4.0,722.9833333333329,0.8141923436041083,11.0,70.0
82,915.7294260910777,19.0,1.0,741.3333333333335,0.9452449567723343,17.0,37.0
83,934.5618736398233,19.0,1.0,720.3333333333335,0.9487418452935694,15.0,35.0
84,844.7104493810358,17.0,3.0,724.0666666666662,0.8680892337536372,12.0,76.0
85,742.0925135100855,15.0,5.0,724.0999999999995,0.7502321262766946,11.0,77.0
86,748.2321450046772,14.0,5.0,721.2499999999993,0.7642357642357642,10.0,85.0
87,747.5018397767028,15.0,5.0,721.1499999999995,0.7592954990215264,11.0,80.0
88,745.4040841567432,15.0,5.0,751.1166666666662,0.7543859649122807,11.0,78.0
89,697.4515963815861,14.0,5.0,730.2833333333327,0.7317073170731707,11.0,88.0
90,897.1494493528476,19.0,1.0,729.3333333333335,0.9467980295566503,16.0,36.0
