,Total_reward,Satisfied_customers,Customers_without_deliveries,Total_time,Total_satisfaction,Wharehouse_visits,Trips
0,852.9865193440019,11.0,1.0,757.3333333333335,0.9162609542356378,18.0,38.0
1,860.3702784766612,14.0,1.0,740.3333333333335,0.9095283926852743,17.0,37.0
2,741.6763830075502,14.0,4.0,730.4166666666662,0.7684824902723736,11.0,96.0
3,843.4464304327548,14.0,1.0,751.3333333333335,0.9000999000999002,18.0,38.0
4,837.2242422058503,12.0,1.0,739.3333333333335,0.9076305220883534,17.0,37.0
5,827.9481587916216,7.0,1.0,759.3333333333335,0.8239564428312159,18.0,38.0
6,803.2922874377723,15.0,3.0,727.1999999999995,0.8481880509304603,11.0,83.0
7,818.636366335659,10.0,1.0,731.3333333333334,0.8484848484848485,17.0,37.0
8,853.7153446078214,12.0,1.0,756.4333333333335,0.8867753623188406,17.0,43.0
9,828.1434012458806,10.0,1.0,740.3333333333335,0.8906560636182903,17.0,37.0
10,767.1654141822735,15.0,3.0,728.1166666666662,0.8274509803921568,10.0,77.0
11,845.6099488848292,12.0,1.0,737.3333333333335,0.880466472303207,17.0,37.0
12,707.6921069055104,13.0,4.0,722.3999999999994,0.7377521613832853,10.0,94.0
13,831.1092455145811,10.0,1.0,734.3333333333335,0.8647581441263573,17.0,37.0
14,797.0969800715752,15.0,3.0,723.3166666666662,0.8241965973534972,11.0,90.0
15,827.3062947741729,12.0,1.0,725.3333333333335,0.8833333333333333,17.0,37.0
16,846.1958807314733,8.0,1.0,720.3333333333335,0.8798449612403101,17.0,37.0
17,844.4191185854379,16.0,2.0,720.2166666666662,0.884393063583815,10.0,83.0
18,861.26423540801,9.0,1.0,724.3333333333335,0.904397705544933,17.0,37.0
19,824.7025281347435,11.0,1.0,735.3333333333334,0.8706467661691543,17.0,37.0
20,776.6248117523035,14.0,3.0,737.4000000000001,0.8252895752895753,18.0,42.0
21,829.597351618306,12.0,2.0,725.4000000000001,0.8660377358490566,17.0,41.0
22,855.0233163549375,12.0,1.0,722.3333333333335,0.8994307400379506,17.0,37.0
23,773.3962005369024,13.0,3.0,736.4166666666669,0.8015051740357478,17.0,42.0
24,858.1311574339803,15.0,1.0,720.4000000000001,0.9003690036900369,16.0,40.0
25,817.5520611430072,12.0,2.0,745.4166666666669,0.8728323699421965,17.0,42.0
26,721.919312052806,14.0,4.0,721.4666666666659,0.7478912839737581,11.0,99.0
